question,answer,tags
"<p>I'm learning VBA as a means to speed up some processes at my work. I have to send rooming lists to properties in PDF format generated form excel. I have the following code that works great, but I get an error message whenever one of the worksheets is hidden. I have to hide sheets often as properties change from trip to trip.</p>

<p>I want to PDF the Worksheets from the 4th sheet to the sheetname ""Post"". Whenever I hide a sheet in between these I get the following error message ""Run-time error '5': Invalid procedure call or argument""</p>

<p>Here's the code: </p>

<pre><code>Sub SaveAllPDF()
Dim I As Integer
Dim Fname As String
Dim TabCount As Long


TabCount = Sheets(""Post"").Index

' Begin the loop.

For I = 4 To TabCount
Sheets(I).Activate
With ActiveSheet
Fname = .Range(""C15"") &amp; "" "" &amp; .Range("" B1"")
ActiveSheet.ExportAsFixedFormat Type:=xlTypePDF, FileName:= _
""C:\Users\brandon.ford\Desktop\Operation Automated\"" &amp; Fname,     
Quality:=xlQualityStandard, _
IncludeDocProperties:=True, IgnorePrintAreas:=False, OpenAfterPublish:=False
End With
Next I
End Sub
</code></pre>

<p>Anyone have any ideas how to remedy this problem so the 'For I = 4 to TabCount' ignores any hidden tabs? Any help would be MUCH appreciated, I've been trying to tackle this problem for a long time and do not have much VBA knowledge. </p>
","<p>With your current loop, this is best avoided by simply checking that the WorkSheet is visible before trying to export.  The Visible property contains this info.  The value should be xlSheetVisible if the sheet is visible.</p>

<p>Here is the full code with the check:</p>

<pre><code>Sub SaveAllPDF()
Dim I As Integer
Dim Fname As String
Dim TabCount As Long


TabCount = Sheets(""Post"").Index

' Begin the loop.

For I = 4 To TabCount
Sheets(I).Activate
With ActiveSheet
    If .Visible = xlSheetVisible Then

        Fname = .Range(""C15"") &amp; "" "" &amp; .Range("" B1"")
        ActiveSheet.ExportAsFixedFormat Type:=xlTypePDF, FileName:= _
        ""C:\Users\brandon.ford\Desktop\Operation Automated\"" &amp; Fname,
        Quality:=xlQualityStandard, _
        IncludeDocProperties:=True, IgnorePrintAreas:=False, OpenAfterPublish:=False

    End If
End With
Next I
End Sub
</code></pre>
","<excel><vba><excel-vba><pdf>"
"<p>Chart = xy Scatter</p>

<p>I have a chart on which I have set a Horizontal Axis Crosses-Axis value = 200. And that chart looks as follows:</p>

<p><img src=""https://i.stack.imgur.com/ISljx.png"" alt=""enter image description here""></p>

<p>Now I wish to reverse the order of the y-axis labels. But when I check ""Values in reverse order"" the x-axis labels jump above the x-axis line as follows:</p>

<p><img src=""https://i.stack.imgur.com/UbxpI.png"" alt=""enter image description here""></p>

<p>I'd like the x-axis labels to be bellow the x-axis line. I have been trying various VBA code and just various excel options. Such as:</p>

<p>.TickLabels.Offset (this offsets the x-axis labels further away from the x-axis, will not accept negative numbers)</p>

<p>I wanted to add a large MarginTop value to the x-axis labels, but I was unable to figure out the VBA code and the option is greyed out in Excel.</p>

<p>Any possible thoughts or solutions would be very much appreciated.</p>
","<p>If you can live with the x-axis being at the bottom of the chart, you can get the labels back ""under"" the axis by changing the TickLabelPosition to be equal to xlTickLabelPositionHigh.  It looks better if you also cross the y-axis at the ""Maximum axis value"".  This puts the axis formatting at the bottom (really the maximum value) with the labels.</p>

<p>You can get all these settings from the normal menus.  If you need VBA to do this, here is a starting point:</p>

<pre><code>Sub reverseAxisAndLabelAtBottom()

    Dim cht As Chart
    Dim x_axis As Axis
    Dim y_axis As Axis

    'using the ActiveChart... assumes it is selected

    Set cht = ActiveChart
    Set x_axis = cht.Axes(xlCategory)
    Set y_axis = cht.Axes(xlValue)

    y_axis.ReversePlotOrder = True
    x_axis.TickLabelPosition = xlTickLabelPositionHigh
    y_axis.Crosses = xlAxisCrossesMaximum


End Sub
</code></pre>

<p>I also tried to do this by adding a dummy series and putting reversed y-axis on the secondary axis.  This gets the labels right, but then the y-axis is forced over to the far right.  I would not call that an ""ideal"" way of doing it.</p>

<p>Before/after pictures with some random data.
<img src=""https://i.stack.imgur.com/mcL96.png"" alt=""before"">
<img src=""https://i.stack.imgur.com/FUHiy.png"" alt=""after""></p>
","<excel><excel-vba>"
"<p>I am trying to use a macro to delete data that follows after a certain word/phrase in excel.</p>

<p>The problem is the cell position can vary depending on how many lines there are in the spreadsheet after the report has been run/exported. I need a solution, if possible, to target a certain phrase (using the find function i presume) and delete 30 cells down from that wherever the text may be (no cet cell).</p>

<p>Is this possible?</p>
","<p>This is possible, but the specifics of what you want are not the clearest.  Here is some code that will get you started.  It looks for a given phrase in all of the cells on the sheet.  If it finds it, it adds the 30 cells below that one into a group that is slated for deletion.  Once it searches all the cells, it deletes the groups that were collected.</p>

<p>Since we are iterating through the collection that we want to delete from, I collect the cells to delete (using Union) and delete them after the loop closes.</p>

<p>This may not be the fastest code since it searches all cells in the UsedRange, but it should work for most uses.</p>

<pre><code>Sub deleteBelowPhrase()

    Dim cell As Range
    Dim sht As Worksheet

    Dim phrase As String
    Dim deleteRows As Integer

    'these are the parameters
    phrase = ""DELETE BELOW ME""
    deleteRows = 30

    'assumes you are searching the active sheet
    Set sht = ActiveSheet

    Dim del_range As Range
    Dim del_cell As Range

    For Each cell In sht.UsedRange

        'check for the phrase in the cell
        If InStr(cell.Value2, phrase) &gt; 0 Then

            'get a reference to the range to delete
            Set del_cell = sht.Range(cell.Offset(1), cell.Offset(deleteRows))

            'create object to delete or add to existing
            If del_range Is Nothing Then
                Set del_range = del_cell
            Else
                Set del_range = Union(del_range, del_cell)
            End If
        End If

    Next cell

    'delete the block of cells that are collected
    del_range.Delete xlShiftUp

End Sub
</code></pre>

<h1>Before</h1>

<p><img src=""https://i.stack.imgur.com/Qfuxv.png"" alt=""before""></p>

<h1>After</h1>

<p><img src=""https://i.stack.imgur.com/hHYMs.png"" alt=""after""></p>
","<excel><vba><find><cell>"
"<p>I would like to chart the states of a machine over a period of time. For example it may be ""running"" for 2 hours and then ""stopped"" for 1 hour, and there may be several times each state occurs. Using a stacked bar chart I'd like to display the state and the amount of time it stays in the state.
I'm finding that excel is assigning a new color and legend entry to each new state instance even if that state has already occurred.<br>
How can I make same-named states within a chart have the same color (e.g. every time ""running"" is displayed it has the same color and a single legend entry)? Thanks</p>
","<p>The state name is stored as the Series Name.  There is a series for each stack in the Chart.  It is possible to iterate through series and style them based on the Series Name.  It is also possible to remove entries from the Legend using the LegendEntries object.</p>

<p>Combining these into a loop, you can update the series color if it matches a title and then remove the item from the Legend if it is not one of the first two Series.  This assumes that ""running"" and ""stopped"" alternate at the start and are the entries to keep in the Legend.  If this is not the case, you could do more logic to spot the entries to keep.</p>

<pre><code>Sub style_chart()

    Dim cht As Chart
    Dim ser As Series

    'uses the active chart... assume it is selected
    Set cht = ActiveChart

    With cht
        'reset legend so that it matches series
        .HasLegend = False
        .HasLegend = True

        'iterate backwards to delete
        For i = .SeriesCollection.Count To 1 Step -1
            Set ser = .SeriesCollection(i)

            'set series colors based on name
            If ser.Name = ""running"" Then
                ser.Format.Fill.ForeColor.RGB = RGB(0, 176, 80)
            ElseIf ser.Name = ""stopped"" Then
                ser.Format.Fill.ForeColor.RGB = RGB(255, 0, 0)
            End If

            'delete the legend entry if after first 2
            If i &gt; 2 Then
                .Legend.LegendEntries(i).Delete
            End If
        Next i
    End With

End Sub
</code></pre>

<h1>Before</h1>

<p><img src=""https://i.stack.imgur.com/SQn83.png"" alt=""before""></p>

<h1>After</h1>

<p><img src=""https://i.stack.imgur.com/iCoBV.png"" alt=""after""></p>
","<excel><vba><charts>"
"<p>I got VBA code to populate some T-SQL query data in an Excel file. In that data, one column contains values of Red, Amber, Green and N/A. Now I want background Color for according to those values (Red, Amber, Green and White). How can I do this in VBA?</p>

<p><strong>Edited:</strong> I need Like this:</p>

<pre><code>id firstname lastname complaint
1  paul      nixon    RED
2  John      nathon   RED
3  sera      teag     AMBER
4  CLARE     walker   GREEN
</code></pre>

<p>Now I want background color for column 'complaint' according to cell value, like if cell value RED I want that background color also RED etc.. in VBA code.</p>
","<p>Changing the background color of a cell is simple.  Determining what color to change it to is the key step here.  If you know that those 4 colors are the only options, I would just pound out the cases and set the colors.  If you find this growing to more colors, you may want to define them in a Dictionary and do a lookup instead of the SELECT-CASE construction.</p>

<p>This simple code would work with your example.  You will want to define the Range better (probably not ""D2:D5"") based on your real application and tweak the colors.</p>

<pre><code>Sub ColorWithText()

    Dim cell As Range

    For Each cell In Range(""D2:D5"")
        Select Case UCase(cell.Value)
            Case ""RED""
                cell.Interior.Color = RGB(255, 0, 0)
            Case ""AMBER""
                cell.Interior.Color = RGB(255, 191, 0)
            Case ""GREEN""
                cell.Interior.Color = RGB(0, 255, 0)
            Case ""WHITE""
                cell.Interior.Color = RGB(255, 255, 255)
        End Select
    Next cell
End Sub
</code></pre>

<p>Here is a picture of my Excel instance after the code runs.
<img src=""https://i.stack.imgur.com/BNyEa.png"" alt=""image with colors applied""></p>
","<sql-server><vba><excel-vba>"
"<p>I have a list of stock prices pulled from Google finance and placed in different sheets in my Excel. I'm wondering, Can I refresh Excel sheet every SECOND (not minute) according to the Google finance stock price?</p>
","<p>This can be done without having a macro constantly running.  It relies on the <strong>Application.OnTime</strong> method which allows an action to be scheduled out in the future. I have used this approach to force Excel to refresh data from external sources.</p>

<p>The code below is based nearly exclusively on the code at this link: <a href=""http://www.cpearson.com/excel/ontime.aspx"" rel=""nofollow"">http://www.cpearson.com/excel/ontime.aspx</a></p>

<p>The reference for Application.OnTime is at: <a href=""https://msdn.microsoft.com/en-us/library/office/ff196165.aspx"" rel=""nofollow"">https://msdn.microsoft.com/en-us/library/office/ff196165.aspx</a></p>

<pre><code>Dim RunWhen As Date

Sub StartTimer()
    Dim secondsBetween As Integer
    secondsBetween = 1

    RunWhen = Now + TimeSerial(0, 0, secondsBetween)
    Application.OnTime EarliestTime:=RunWhen, Procedure:=""CodeToRun"", Schedule:=True
End Sub

Sub StopTimer()
    On Error Resume Next
    Application.OnTime EarliestTime:=RunWhen, Procedure:=""CodeToRun"", Schedule:=False
End Sub

Sub EntryPoint()

    'you can add other code here to determine when to start
    StartTimer

End Sub

Sub CodeToRun()

    'this is the ""action"" part
    [A1] = WorksheetFunction.RandBetween(0, 100)


    'be sure to call the start again if you want it to repeat
    StartTimer

End Sub
</code></pre>

<p>In this code, the StartTimer and StopTimer calls are used to manage the Timers.  The EntryPoint code gets things started and CodeToRun includes the actual code to run.  Note that to make it repeat, you call StartTimer within CodeToRun.  This allows it to loop.  You can stop the loop by calling the StopTimer or simply not calling StartTimer again.  This can be done with some logic in CodeToRun.</p>

<p>I am simply putting a random number in A1 so that you can see it update.</p>
","<excel><excel-vba><refresh><seconds>"
"<p>I have a column of cells (Range A2:A10) which contain names of students. For each student, I have a chart titled after their name which track their performances in another sheet. I would like to change the chart background to light red colour if their names appear in the column of cells. </p>
","<p>This is a fairly straight forward combination of ideas.  You need to iterate through the charts, check the title against a list, and change the background color.  The code below is an example to show the idea.</p>

<p>When iterating through Charts on a sheet, you start with the ChartObjects method.  The ChartObject contains a reference to the actual Chart where you can get the Title and change the background.  Note that checking the Title of a Chart without one will throw an error, so I start with a check to Chart.HasTitle.</p>

<p>I am using Application.Match to check if the range contains the title.  This will return an error if it is not found, so I am checking for that error.</p>

<p>Finally, if the match exists, you change the background of the Chart through a lengthy list of properties.  If you want to change a different part of the chart, record a macro to find the right property.</p>

<pre><code>Sub ColorBasedOnTitle()

    Dim chtObj As ChartObject
    Dim sht As Worksheet
    Dim rng_students As Range

    'assume active sheet, change if not
    Set sht = ActiveSheet

    'need to set a reference to the list of names... named range is probably prefered here
    Set rng_students = sht.Range(""B3:B6"")

    'loop through all charts on sheet
    For Each chtObj In sht.ChartObjects

        'if chart has title, check its value
        Dim title As String
        If chtObj.Chart.HasTitle Then
            title = chtObj.Chart.ChartTitle.Text

            'use Match to see if title is in list of names
            Dim search As Variant
            search = Application.Match(title, rng_students, 0)

            'see if student is in list, change background if so
            If Not IsError(search) Then
                chtObj.Chart.ChartArea.Format.Fill.ForeColor.RGB = RGB(255, 0, 0)
            End If
        End If
    Next chtObj
End Sub
</code></pre>

<p>Here is a picture of my Excel instance so you can see the result.  Note that my Chart titled ""F"" is outside the range of checked names which are highlighted grey for emphasis.</p>

<p><img src=""https://i.stack.imgur.com/Y7kzZ.png"" alt=""charts after code runs""></p>
","<excel><vba><excel-vba>"
"<p>I have some hierarhical dictionary like this</p>

<p><img src=""https://i.stack.imgur.com/JRdw0.jpg"" alt=""enter image description here""></p>

<p>And unloaded this dictionary into Excel file like this</p>

<p><img src=""https://i.stack.imgur.com/DL7Cy.jpg"" alt=""enter image description here""></p>

<p>Now I have to group Excel rows in hierarhical manner.</p>

<p>I know that Excel has range().group function. But is there any way to do so quick and easy or I have to scan all excel file and select rows to group in manual way?</p>
","<p>I tested this out on some dummy examples and it worked well.  The idea is to loop through the cells in your range of interest and group them if the level is greater in rows below the current cell.  It works its way down which builds the hierarchy.  You can then use the grouping buttons to show different levels.</p>

<p>This code works if the level column has no breaks (since I am using Range.End to get the last cell).</p>

<pre><code>Sub GroupBasedOnLevel()

    Dim rng_cells As Range
    Dim rng_start As Range
    Dim rng_end As Range

    'set up some ranges, change rng_start to be appropriate
    Set rng_start = Range(""A2"")
    Set rng_end = rng_start.End(xlDown)
    Set rng_cells = Range(rng_start, rng_end)

    'clear previous outline
    Cells.ClearOutline

    'loop through level cells and group based on values below
    Dim cell As Range
    For Each cell In rng_cells

        'get value of cell and start checking below it
        Dim row_off As Integer
        row_off = 1

        'loop ensures level is greater below and cells are within range
        Do While cell.Offset(row_off) &gt; cell And cell.Offset(row_off).Row &lt;= rng_end.Row
            row_off = row_off + 1
        Loop

        'do the grouping if there are more than 1 cells below
        If row_off &gt; 1 Then
            Range(cell.Offset(1), cell.Offset(row_off - 1)).EntireRow.Group
        End If
    Next cell
End Sub
</code></pre>

<h1>Results</h1>

<h2>starting point</h2>

<p><img src=""https://i.stack.imgur.com/lBwAZ.png"" alt=""starting point""> </p>

<h2>full grouping</h2>

<p><img src=""https://i.stack.imgur.com/39o9K.png"" alt=""full grouping""></p>

<h2>collapsed to level 1</h2>

<p><img src=""https://i.stack.imgur.com/uxHsZ.png"" alt=""collapsed group""></p>
","<excel><vba><excel-vba>"
"<p>I wonder whether someone could help me please.</p>

<p>I'm using the code below to dynamically create a list of files from a given folder.</p>

<p>In column E for each row of the list there is a link 'Click Here to Open' which allows the user to open each file.</p>

<p>But I'm now looking to change this so rather than opening the file, the link will open a 'Save' dialog which allows the user the file to a user selected folder, and I must admit this issue has had me baffled for over a week now.</p>

<pre><code>Public Sub ListFilesInFolder(SourceFolder As Scripting.folder, IncludeSubfolders As Boolean)

    Dim LastRow As Long

    On Error Resume Next
    For Each FileItem In SourceFolder.Files
        ' display file properties
        Cells(iRow, 3).Formula = iRow - 12
        Cells(iRow, 4).Formula = FileItem.Name
        Cells(iRow, 5).Select
        Selection.Hyperlinks.Add Anchor:=Selection, Address:= _
        FileItem.Path, TextToDisplay:=""Click Here to Open""
        iRow = iRow + 1 ' next row number

        With ActiveSheet
            LastRow = .Cells(.Rows.Count, ""C"").End(xlUp).Row
            LastRow = Cells.Find(""*"", SearchOrder:=xlByRows, SearchDirection:=xlPrevious).Row
        End With

        For Each Cell In Range(""C13:E"" &amp; LastRow) ''change range accordingly
            If Cell.Row Mod 2 = 1 Then ''highlights row 2,4,6 etc|= 0 highlights 1,3,5
                Cell.Interior.Color = RGB(232, 232, 232) ''color to preference
            Else
                Cell.Interior.Color = RGB(141, 180, 226) 'color to preference or remove
            End If
        Next Cell
    Next FileItem

    If IncludeSubfolders Then
        For Each SubFolder In SourceFolder.SubFolders
            ListFilesInFolder SubFolder, True
        Next SubFolder
    End If
    Set FileItem = Nothing
    Set SourceFolder = Nothing
    Set FSO = Nothing
End Sub
</code></pre>

<p>I've tried using the command 'Application.Dialogs(xlDialogSaveAs).Show' in every row of the code but I cannot get this to work because all it does is ask the user to save the file as it creates the list.</p>

<p>I just wondered whether someone could possibly look at this please and let me know where I've gone wrong.</p>

<p>Many thanks and kind regards</p>

<p>Chris</p>
","<p>Here is the relevant code for copying a file from a given spot to a destination folder selected by the user.  I wrapped it in a Worksheet event for <code>FollowHyperlink</code> since it sounds like you are doing this based on a click.</p>

<pre><code>Private Sub Worksheet_FollowHyperlink(ByVal Target As Hyperlink)

    Dim FSO
    Dim sFile As String
    Dim sDFolder As String

    'path to file to copy, you will want to point this at a cell range
    'this assume a single cell is selected
    sFile = Target.Range.Value

    'destination folder
    Dim fldr As FileDialog
    Set fldr = Application.FileDialog(msoFileDialogFolderPicker)

    fldr.AllowMultiSelect = False
    fldr.Show

    'add the end slash for the copy operation
    sDFolder = fldr.SelectedItems(1) &amp; ""\""

    'FSO object to copy the file... True below overwrites if needed
    Set FSO = CreateObject(""Scripting.FileSystemObject"")
    FSO.CopyFile (sFile), sDFolder, True

End Sub
</code></pre>
","<excel-vba><excel-2013>"
"<p>Is there a more efficient way to do the below operation of adding three cell values in  a row to the corresponding cells above and then deleting the old row? Half the time the macro freezes; I am running it on about 12,000 lines (there are no dynamic formulas on the sheet).</p>

<pre><code>Application.ScreenUpdating = False

For a = Lcell To 2 Step -1
   If Cells(a, 23).Value = Cells(a - 1, 23).Value Then
       Cells(a, 16).Value = Cells(a, 16).Value + Cells(a - 1, 16).Value
       Cells(a, 17).Value = Cells(a, 17).Value + Cells(a - 1, 17).Value
       Cells(a, 18).Value = Cells(a, 18).Value + Cells(a - 1, 18).Value
       Cells(a - 1, 1).EntireRow.Delete
   End If
Next a

Application.ScreenUpdating = True
</code></pre>
","<p>One option when deleting cells is to use the UNION-DELETE pattern.  This saves the deletion step until after the logic is determined and does it all at once.  This technique allows deleting a Range that is being iterated through.  It also reduces operations which should improve increase speed.  I have not tested it for speed though.</p>

<p><strong>Edited code to delete last row based on comments</strong></p>

<pre><code>Dim rng_delete As Range

For A = Lcell To 2 Step -1
   If Cells(A, 23).Value = Cells(A - 1, 23).Value Then
       Cells(A - 1, 16).Value = Cells(A, 16).Value + Cells(A - 1, 16).Value
       Cells(A - 1, 17).Value = Cells(A, 17).Value + Cells(A - 1, 17).Value
       Cells(A - 1, 18).Value = Cells(A, 18).Value + Cells(A - 1, 18).Value

        'rng_delete starts empty which errors Union on first add
        If rng_delete Is Nothing Then
            Set rng_delete = Cells(A, 1).EntireRow
        Else
            Set rng_delete = Union(rng_delete, Cells(A, 1).EntireRow)
        End If
   End If
Next A

rng_delete.Delete
</code></pre>
","<excel><vba><excel-vba>"
